ID,Region/Province,Municipality/City,2009,2012,2015
12910,,Gregorio del Pilar,26.1,26.6,19.3
12911,,Lidlidda,17.3,34.4,11.1
12912,,Magsingal,18.1,21.8,10.9
12913,,Nagbukel,28.4,30.3,16.9
12914,,Narvacan,17.7,11.0,13.2
12915,,Quirino,27.2,35.2,20.4
12916,,Salcedo,22.7,26.8,15.1
12917,,San Emilio,23.7,24.4,18.8
12918,,San Esteban,15.7,18.6,10.9
12919,,San Ildefonso,15.4,10.4,10.2
12920,,San Juan,18.0,17.0,11.7
12921,,San Vicente,12.9,14.1,9.6
12922,,Santa,13.6,12.6,11.2
12923,,Santa Catalina,11.7,16.7,13.3
12924,,Santa Cruz,24.0,21.2,14.7
12925,,Santa Lucia,25.1,21.9,14.4
12926,,Santa Maria,16.9,18.5,11.3
12927,,Santiago,20.9,24.7,13.0
12928,,Santo Domingo,16.4,21.1,11.3
12929,,Sigay,27.2,22.9,21.4
12930,,Sinait,18.7,20.0,12.2
12931,,Sugpon,35.4,42.4,26.6
12932,,Suyo,24.4,24.7,14.6
12933,,Tagudin,20.6,22.6,13.5
12934,,Vigan City,12.4,7.1,8.7
13301,La Union,Agoo,21.3,8.5,6.7
13302,,Aringay,26.0,11.7,8.6
13303,,Bacnotan,21.1,9.0,5.3
13304,,Bagulin,35.1,27.6,13.0
13305,,Balaoan,26.6,12.1,6.5
13306,,Bangar,27.9,14.9,8.0
13307,,Bauang,20.3,6.0,5.7
13308,,Burgos,26.2,16.7,10.1
13309,,Caba,25.2,8.5,7.3
13310,,Luna,24.7,12.1,6.0
13311,,Naguilian,21.9,5.1,5.9
13312,,Pugo,27.4,7.5,5.8
13313,,Rosario,24.8,8.2,6.4
13314,,San Fernando City,15.0,3.8,3.8
13315,,San Gabriel,29.7,15.0,15.1
13316,,San Juan,22.7,7.1,5.5
13317,,Santo Tomas,22.7,12.3,7.5
13318,,Santol,32.7,20.6,12.6
13319,,Sudipen,25.8,14.7,9.7
13320,,Tubao,26.2,17.0,8.6
15501,Pangasinan,Agno,28.4,11.3,16.6
15502,,Aguilar,26.0,15.0,16.6
15503,,Alaminos City,19.9,8.6,12.4
15504,,Alcala,20.3,13.6,12.4
15505,,Anda,25.9,8.9,11.5
15506,,Asingan,20.4,10.6,9.4
15507,,Balungao,21.4,12.2,11.0
15508,,Bani,21.0,17.6,11.8
15509,,Basista,24.6,11.6,17.6
15510,,Bautista,23.4,10.0,14.1
15511,,Bayambang,24.2,19.5,13.9
15512,,Binalonan,14.8,7.8,8.8
15513,,Binmaley,17.5,7.5,9.2
15514,,Bolinao,28.7,12.5,16.9
15515,,Bugallon,24.8,15.2,14.7
15516,,Burgos,28.7,9.5,13.7
15517,,Calasiao,17.2,9.9,8.7
15518,,Dagupan City,13.9,6.0,9.2
15519,,Dasol,25.3,17.6,12.8
15520,,Infanta,24.0,9.5,14.2
15521,,Labrador,18.6,8.7,11.0
15522,,Lingayen,18.3,9.4,10.6
15523,,Mabini,21.5,12.1,14.9
15524,,Malasiqui,24.5,19.1,12.3
15525,,Manaoag,22.3,8.9,11.6
