,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
8478,164521,Macasipac ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 4,male,6,14.508183,121.4484747
8479,107897,Maduya ES,IV-A (CALABARZON),Cavite,Carmona,Cavite,Carmona,grade 4,male,76,14.3182792,121.063608
8480,108031,Magallanes ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 4,male,33,14.158284,120.7464897
8481,109760,Magcaseville Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Dapdapan,grade 4,male,30,14.064558,121.3325333
8482,108341,Magdalena Cs (Ananias Laico MES),IV-A (CALABARZON),Laguna,Magdalena,Laguna,Magdalena,grade 4,male,87,14.149542,121.4697534
8483,108492,Magsaysay ES,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 4,male,24,14.4583187,121.5155891
8484,108425,Magsaysay ES,IV-A (CALABARZON),Laguna,San Pedro,Laguna,San Pedro,grade 4,male,63,14.3422861,121.0536041
8485,108108,Maguyam ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,48,14.2324604,120.9740088
8486,108013,Mahabang Kahoy Cerca ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,10,14.1723727,120.8952283
8487,108014,Mahabang Kahoy Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,5,14.1565417,120.9189073
8488,164525,Mahabang Parang ES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 4,male,22,14.0924931,121.2454681
8489,108146,Maharlika ES,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 4,male,64,14.1028514,120.9487684
8490,107861,Maitim ES,IV-A (CALABARZON),Cavite,Amadeo,Cavite,Amadeo,grade 4,male,16,14.1400078,120.94931
8491,108203,Maitim ES,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 4,male,33,14.1820593,121.2755118
8492,108147,Maitim II ES,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 4,male,45,14.128323,120.948443
8493,109850,Majada In ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,76,14.1878924,121.0890525
8494,109851,Majada Out ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,58,14.1876712,121.1250825
8495,108348,Majayjay Elementary School,IV-A (CALABARZON),Laguna,Majayjay,Laguna,Majayjay,grade 4,male,123,14.1446724,121.4722824
8496,109782,Major Juan Eseo Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 4,male,26,14.0125271,121.2753725
8497,164530,Makativille ES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 4,male,27,14.1383725,121.3198491
8498,109820,Makiling ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East I,grade 4,male,81,14.1527881,121.1364733
8499,108127,Malabag ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 4,male,86,14.1409665,120.9689892
8500,164513,Malaban East ES,IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 4,male,84,14.346216,121.088835
8501,108223,Malaban ES,IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 4,male,272,14.3480943,121.0894002
8502,107986,Malagasang I ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 4,male,105,14.3885501,120.9283773
8503,107987,Malagasang II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 4,male,259,14.3731828,120.9283268
8504,107988,Malagasang III ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 4,male,70,14.3600656,120.92766
8505,108071,Malainen Bago ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic II,grade 4,male,35,14.302758,120.766603
8506,108072,Malainen Luma ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic II,grade 4,male,40,14.277436,120.7865072
8507,107872,Maliksi ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor I,grade 4,male,177,14.4599739,120.9523355
8508,108310,Malinta ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 4,male,35,14.1856746,121.2325889
8509,107905,Malinta ES,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas I,grade 4,male,47,14.265071,120.968268
8510,107885,Malipay ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor II,grade 4,male,106,14.3788635,121.0100512
8511,108478,Malitlit Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District II,grade 4,male,64,14.2679652,121.1133564
8512,108244,Mamatid ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 4,male,342,14.2384299,121.1524244
8513,107873,Mambog ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor I,grade 4,male,109,14.4203285,120.956081
8514,108224,Mampalasan ES,IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 4,male,73,14.2925475,121.0834976
8515,108361,Manaol ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 4,male,27,14.1845121,121.374175
8516,107845,Mangas ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 4,male,15,14.1054284,120.8773349
8517,107951,Manggahan ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 4,male,88,14.2944911,120.9058691
8518,109852,Mangumit ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,14,14.2014173,121.0558645
