,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
0,108351,Abo-Bukal Elementary School,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,22,14.1112319,121.4304149
1,108417,Adelina I Complex ES,IV-A (CALABARZON),Laguna,San Pedro,Laguna,San Pedro,grade 1,male,139,14.3521445,121.0414754
2,108452,Adia ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,20,14.4924969,121.4413326
3,108094,Adlas ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,83,14.2482216,120.9675551
4,108177,Aguado ES,IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,Trece Martirez City,grade 1,male,150,14.2578207,120.8642493
5,108016,Aguinaldo ES,IV-A (CALABARZON),Cavite,Kawit,Cavite,Kawit,grade 1,male,140,14.4451027,120.9069061
6,108003,Agus-os ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,7,14.2275768,120.8573546
7,108087,Agustin Abadilla ES,IV-A (CALABARZON),Cavite,Rosario,Cavite,Rosario,grade 1,male,225,14.4157404,120.8505814
8,108188,Alaminos CS,IV-A (CALABARZON),Laguna,Alaminos,Laguna,Alaminos,grade 1,male,181,14.0616209,121.2603964
9,107980,Alapan I ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 1,male,207,14.4155155,120.918962
10,107981,Alapan II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 1,male,56,14.4081951,120.9058691
11,107839,Alfonso ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 1,male,102,14.1214038,120.8613785
12,108178,Aliang ES,IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,Trece Martirez City,grade 1,male,52,14.2822215,120.868383
13,108004,Alulod ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,54,14.2235575,120.8872137
14,108352,Alumbrado ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,18,14.1406891,121.3706017
15,107857,Amadeo ES,IV-A (CALABARZON),Cavite,Amadeo,Cavite,Amadeo,grade 1,male,104,14.1692753,120.9222119
16,108155,Amaya ES,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,330,14.384293,120.832259
17,109749,Ambray Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Ambray,grade 1,male,107,14.0647557,121.3214223
18,108084,Ambrocio Robles MES (San Jose ES),IV-A (CALABARZON),Cavite,Noveleta,Cavite,Noveleta,grade 1,male,46,14.4316957,120.8864526
19,107840,Amuyong ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 1,male,30,14.073605,120.8527655
20,107968,Anabu I Elementary School,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,91,14.3764,120.936
21,107969,Anabu II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,223,14.3876764,120.9400333
22,108173,Anastacio N.F. Dinglas ES (San Jose ES),IV-A (CALABARZON),Cavite,Ternate,Cavite,Ternate,grade 1,male,17,14.2708635,120.7281418
23,107944,Angel L. Bawalan ES (Alingaro ES),IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 1,male,43,14.2915049,120.9019241
24,108487,Angela Ong Javier MES,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 1,male,37,14.4158525,121.4439011
25,107877,Aniban CS,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor II,grade 1,male,374,14.4609098,120.9642384
26,108378,Anibong Elementary School,IV-A (CALABARZON),Laguna,Pagsanjan,Laguna,Pagsanjan,grade 1,male,5,14.272535,121.4461327
27,108353,Antipolo Sulsuguin ES,IV-A (CALABARZON),Laguna,Rizal,Laguna,Nagcarlan-Rizal,grade 1,male,31,14.116741,121.3784595
28,109803,Antonia Manuel Magcase Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Sto. Angel,grade 1,male,54,14.0609057,121.3257337
29,108486,Antonio Adricula Sr. Memorial Elementary School,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 1,male,43,14.427432,121.46336
30,108159,Antonio B. del Rosario Sr. Mem. Elementary School,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,362,14.3342323,120.8493577
31,108252,Antonio Chipeco MS,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 1,male,37,14.1784477,121.301384
32,108052,Anuling ES,IV-A (CALABARZON),Cavite,Mendez (Mendez-Nunez),Cavite,Mendez,grade 1,male,49,14.1214158,120.8886488
33,108469,Aplaya Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District II,grade 1,male,186,14.318072,121.121612
34,108405,Aplaya ES,IV-A (CALABARZON),Laguna,Pila,Laguna,Pila,grade 1,male,26,14.2583514,121.3527336
35,107936,Area J ES,IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,Cavite,General Mariano Alvarez,grade 1,male,297,14.2905226,121.0021121
36,108053,Asis ES,IV-A (CALABARZON),Cavite,Mendez (Mendez-Nunez),Cavite,Mendez,grade 1,male,72,14.1311947,120.9015642
37,109792,Atisan Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,San Francisco,grade 1,male,19,13.9680531,121.271596
38,107957,Bacao ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias II,grade 1,male,102,14.401422,120.8900839
39,108234,Baclaran ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,130,14.2419316,121.1638798
40,107867,Bacoor ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor I,grade 1,male,127,14.4129931,120.9736786
41,108088,Bagbag I Elementary School,IV-A (CALABARZON),Cavite,Rosario,Cavite,Rosario,grade 1,male,59,14.423403,120.86777
42,164013,Bagbag II ES,IV-A (CALABARZON),Cavite,Rosario,Cavite,Rosario,grade 1,male,206,14.4195755,120.8628139
43,109777,Bagong Bayan Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 1,male,69,14.0667,121.333
44,108095,Bagong Buhay ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,559,14.2739261,120.9947121
45,109778,Bagong Lipunan Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 1,male,71,14.0628334,121.3063058
46,109787,Bagong Pook Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Lakeside,grade 1,male,34,14.0730138,121.3213684
47,108453,Bagong Pook ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,36,14.4730425,121.4291899
48,108179,Bagong Pook ES,IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,Trece Martirez City,grade 1,male,108,14.2614749,120.8765394
49,108418,Bagong Silang ES,IV-A (CALABARZON),Laguna,San Pedro,Laguna,San Pedro,grade 1,male,52,14.3356921,121.028105
50,108302,Bagong Silang ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 1,male,13,14.1390956,121.2254336
51,108139,Bagong Tubig ES,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 1,male,12,14.0797094,120.9021531
52,108454,Bagumbayan ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,30,14.5150308,121.4370471
53,108436,Bagumbayan ES,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 1,male,150,14.2691095,121.4113308
54,109634,Bagumbuhay ES,IV-A (CALABARZON),Cavite,Cavite City,Cavite City,Cavite City III District,grade 1,male,25,14.4834943,120.9052344
55,107926,Bailen ES,IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,Cavite,General E. Aguinaldo,grade 1,male,108,14.1931169,120.792458
56,108344,Bakia-Botocan ES,IV-A (CALABARZON),Laguna,Majayjay,Laguna,Majayjay,grade 1,male,22,14.1568251,121.4941711
57,108338,Balanac ES,IV-A (CALABARZON),Laguna,Magdalena,Laguna,Magdalena,grade 1,male,15,14.2176637,121.4556164
58,108253,Balayhangin ES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 1,male,50,14.1310717,121.3169891
59,108037,Balayungan ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 1,male,9,14.2605618,120.7833306
60,108470,Balibago Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District III,grade 1,male,251,14.2961748,121.1046398
61,108113,Balite I ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 1,male,26,14.2001402,120.9790281
62,108114,Balite II ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 1,male,53,14.1751663,120.9732917
63,108027,Baliwag ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 1,male,22,14.153694,120.7881492
64,108059,Balsahan ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 1,male,71,14.3202537,120.7572651
65,108323,Balubad Elementary School,IV-A (CALABARZON),Laguna,Lumban,Laguna,Lumban-Kalayaan,grade 1,male,18,14.2834864,121.4713287
66,108096,Balubad ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,56,14.1939138,120.9503435
67,108303,Bambang ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 1,male,75,14.1570027,121.208259
68,109779,Banaad Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 1,male,33,14.0226866,121.2926245
69,108005,Banaba Cerca ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,32,14.2170457,120.85133
70,108006,Banaba Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,18,14.2309141,120.8355378
71,108235,Banay-Banay ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,83,14.2546177,121.1295104
72,108495,Banca-Banca ES,IV-A (CALABARZON),Laguna,Victoria,Laguna,Victoria,grade 1,male,52,14.2032537,121.351304
73,108060,Bancaan ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 1,male,121,14.3132432,120.7565467
74,107892,Bancal ES,IV-A (CALABARZON),Cavite,Carmona,Cavite,Carmona,grade 1,male,165,14.2837535,121.0077058
75,108007,Bancod ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,23,14.2189423,120.8742968
76,108254,Bangyas ES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 1,male,40,14.1848203,121.3098389
77,108354,Banilad ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,23,14.1291379,121.3927544
78,108390,Banilan ES,IV-A (CALABARZON),Laguna,Pakil,Laguna,Pangil-Pakil,grade 1,male,23,14.3722117,121.4013285
79,108355,Banka-Banka ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,30,14.1888253,121.3798921
80,108236,Banlic ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,114,14.2262168,121.1567203
81,109828,Banlic ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East II,grade 1,male,128,14.1876712,121.1250825
82,109864,Barandal ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 1,male,49,14.1942677,121.1280781
83,108097,Batas ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,35,14.2471638,120.9388678
84,108017,Batong Dalig ES,IV-A (CALABARZON),Cavite,Kawit,Cavite,Kawit,grade 1,male,73,14.432295,120.9001293
85,107915,Bautista Elementary School,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas II,grade 1,male,418,14.3132934,120.9716783
86,108200,Bay CS,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 1,male,168,14.1320007,121.2569138
87,107970,Bayan Luma I ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,110,14.4226903,120.9352814
88,107971,Bayan Luma II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,81,14.4207756,120.9395851
89,107878,Bayanan ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor II,grade 1,male,341,14.4259621,120.9670686
90,108304,Bayog ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 1,male,101,14.1872666,121.2483291
91,164008,Belvedere ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 1,male,198,14.334515,120.880167
92,108028,Bendita ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 1,male,50,14.1609933,120.7519153
93,109798,Bernadina Aranza Deveza Memorial School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,San Francisco,grade 1,male,81,14.0648189,121.2780762
94,108305,Bernaldo N. Calara ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 1,male,58,14.1752073,121.2322694
95,108163,"Bienvenido R. Fojas ES (Sahud Ulan PS, Halayhay Annex)",IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,146,14.3776018,120.8245786
96,108098,Biga ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,140,14.2502006,120.975667
97,108237,Bigaa ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,129,14.2885434,121.1266458
98,107841,Bilog ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 1,male,15,14.1080796,120.8369736
99,108099,Biluso ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,46,14.2365495,120.9589496
100,108018,Binakayan ES,IV-A (CALABARZON),Cavite,Kawit,Cavite,Kawit,grade 1,male,295,14.4350805,120.8890457
101,108213,BiÐan CES (DoÐa Aurora ES),IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 1,male,193,33.1457497,75.5480491
102,108201,Bitin Elementary School,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 1,male,103,14.0937826,121.2133251
103,108100,Bliss Elementary School,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,58,14.2464933,120.9730225
104,108315,Bonifacio Elementary School,IV-A (CALABARZON),Laguna,Luisiana,Laguna,Luisiana,grade 1,male,53,14.184536,121.509536
105,108437,Bubukal ES,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 1,male,91,14.2691095,121.4113308
106,164524,Bubukal ES - Annex,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 1,male,25,14.2626438,121.4027574
107,109840,Bubuyan ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 1,male,17,14.1761236,121.1108895
108,109814,Bucal Elementary School,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East I,grade 1,male,159,14.18874,121.168886
109,107900,Bucal ES,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas I,grade 1,male,68,14.2837352,120.9603149
110,108038,Bucal I ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 1,male,18,14.2741151,120.7421176
111,108039,Bucal II ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 1,male,43,14.2752698,120.7508
112,108040,Bucal IV ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 1,male,17,14.274655,120.7687577
113,108061,Bucana ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 1,male,31,14.2964865,120.792458
114,108062,Bucana Sasahan ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 1,male,73,14.3230373,120.7599564
115,107842,Buck EState ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 1,male,38,14.0890817,120.8527655
116,107946,Buenavista ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 1,male,177,14.30687,120.904404
117,108339,Buenavista-Cigaras ES,IV-A (CALABARZON),Laguna,Magdalena,Laguna,Magdalena,grade 1,male,61,14.2244955,121.4291486
118,108488,Buhay ES,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 1,male,62,14.4276445,121.4466892
119,107972,Buhay Na Tubig ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,185,14.40944,120.9537745
120,164018,Buhay na Tubig ES (Maharlika Annex),IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,49,14.3964659,120.9597895
121,108345,Bukal ES,IV-A (CALABARZON),Laguna,Majayjay,Laguna,Majayjay,grade 1,male,12,14.1039051,121.4784668
122,108115,Bukal ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 1,male,20,14.214175,120.9687359
123,108270,Bukal ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 1,male,14,14.2344958,121.5427093
124,107982,Bukandala ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 1,male,328,14.409302,120.929543
125,108271,Bulajo ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 1,male,5,14.2242652,121.4984572
126,108140,Bulalo ES,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 1,male,21,14.0991367,120.9235639
127,108141,Bulalo ES - Annex,IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 1,male,14,14.0991367,120.9235639
128,107937,Bulihan ES,IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,Cavite,General Mariano Alvarez,grade 1,male,160,14.2813243,120.9976694
129,108102,Bulihan Sites & Services Project Elementary School,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,373,14.2750783,120.9962356
130,108008,Buna Cerca ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,33,14.1874174,120.8872137
131,108009,Buna Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,40,14.1901304,120.9044342
132,108356,Bunga ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,26,14.1449692,121.3977195
133,108156,Bunga PS,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,26,14.3429329,120.8503144
134,109841,Bunggo Elementary School,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 1,male,50,14.1612534,121.070773
135,108340,Bungkol ES,IV-A (CALABARZON),Laguna,Magdalena,Laguna,Magdalena,grade 1,male,24,14.1854256,121.4299042
136,109842,Buntog ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 1,male,20,14.1876712,121.1250825
137,107916,Burol Elementary School,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas II,grade 1,male,68,14.3300116,120.948783
138,108272,Burol ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 1,male,32,14.2459299,121.5110984
139,109843,Burol ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 1,male,31,14.1616348,121.095131
140,108238,Butong ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,94,14.2862199,121.1338071
141,108380,C. Lanuza ES,IV-A (CALABARZON),Laguna,Pagsanjan,Laguna,Pagsanjan,grade 1,male,68,14.2730556,121.4538889
142,109788,C.M. Azcarate Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Lakeside,grade 1,male,72,14.0776439,121.3207821
143,108117,Cabangaan ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 1,male,15,14.214175,120.9687359
144,107893,Cabilang Baybay ES,IV-A (CALABARZON),Cavite,Carmona,Cavite,Carmona,grade 1,male,75,14.3200909,121.0421102
145,108455,Cabooan ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,11,14.4643544,121.4313328
146,108029,Cabulusan Elementary School,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 1,male,19,14.161032,120.758364
147,108239,Cabuyao Cs,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,202,14.2983017,121.0841599
148,108471,Caingin Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District II,grade 1,male,209,14.3044715,121.1255883
149,109829,Calamba Central School,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East II,grade 1,male,272,14.211911,121.163414
150,108456,Calangay Elementary School,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,14,14.509179,121.4068771
151,108255,Calauan CES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 1,male,133,14.1383725,121.3198491
152,108324,Caliraya ES,IV-A (CALABARZON),Laguna,Lumban,Laguna,Lumban-Kalayaan,grade 1,male,22,14.2964062,121.4964872
153,108438,Callos (Escolapia) ES,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 1,male,48,14.2817268,121.4041901
154,108273,Calminue ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 1,male,21,14.2331504,121.6133122
155,108202,Calo ES,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 1,male,52,14.1846322,121.2755118
156,108030,Caluangan ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 1,male,20,14.1713495,120.7637298
157,108079,Calubcob PS (San Roque Annex),IV-A (CALABARZON),Cavite,Naic,Cavite,Naic II,grade 1,male,22,14.3003008,120.7838403
158,108294,Calumpang ES,IV-A (CALABARZON),Laguna,Liliw,Laguna,Liliw,grade 1,male,46,14.1853441,121.4127596
159,108010,Calumpang Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,26,14.2362918,120.8459522
160,108457,Cambuja-Bubucal ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,15,14.5129033,121.4368751
161,108216,Canlalay ES,IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 1,male,185,14.3435896,121.0714895
162,109844,Canlubang CS,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 1,male,105,14.1876712,121.1250825
163,108274,Cansuso ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 1,male,5,14.2380807,121.5883709
164,108158,Capipisa ES,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,130,14.351202,120.7895855
165,107991,Carasuchi ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang I,grade 1,male,22,14.1496321,120.8779327
166,107958,Caritas Bukid Kabataan ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias II,grade 1,male,6,14.2998838,120.9306765
167,108145,"Carlos S. Batino, Sr. MES (Kaybagal ES)",IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,Tagaytay City,grade 1,male,87,14.1152859,120.9621201
168,108118,Carmen ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 1,male,29,14.2460204,120.9919339
169,107894,Carmona ES,IV-A (CALABARZON),Cavite,Carmona,Cavite,Carmona,grade 1,male,161,14.3108186,121.0409961
170,107983,Carsadang Bago ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 1,male,65,14.428876,120.928049
171,108392,Casa Real ES,IV-A (CALABARZON),Laguna,Pakil,Laguna,Pangil-Pakil,grade 1,male,19,14.3717342,121.387038
172,108240,Casile ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,11,14.2109289,121.0478433
173,108393,Casinsin ES,IV-A (CALABARZON),Laguna,Pakil,Laguna,Pangil-Pakil,grade 1,male,12,14.3549695,121.3784628
174,107927,CastaÐos ES,IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,Cavite,General E. Aguinaldo,grade 1,male,27,14.1931169,120.792458
175,108275,Cavinti ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 1,male,72,14.2646732,121.5455292
176,107973,Cayetano Topacio ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,75,14.4265267,120.9335261
177,108419,Chrysanthemum Vil. ES,IV-A (CALABARZON),Laguna,San Pedro,Laguna,San Pedro,grade 1,male,104,14.3247325,121.0109117
178,109751,Col. Lauro P. Dizon Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Ambray,grade 1,male,33,14.0769559,121.3089835
179,108325,Concepcion (G. Tabia ES),IV-A (CALABARZON),Laguna,Lumban,Laguna,Lumban-Kalayaan,grade 1,male,43,14.306492,121.471485
180,109804,Concepcion Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Sto. Angel,grade 1,male,29,14.0744807,121.3350855
181,108406,Concepcion-Mojon E/S,IV-A (CALABARZON),Laguna,Pila,Laguna,Pila,grade 1,male,19,14.241145,121.368162
182,108180,Conchu ES,IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,Trece Martirez City,grade 1,male,88,14.254244,120.883373
183,108458,Coralan ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,19,14.4961124,121.4256183
184,108394,Cornelio C. Dalena ES,IV-A (CALABARZON),Laguna,Pakil,Laguna,Pangil-Pakil,grade 1,male,43,14.3900063,121.4766937
185,108357,Crisanto Guysayko MES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,138,14.1405077,121.4384766
186,109830,Crossing ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East II,grade 1,male,122,14.2048592,121.1583875
187,108459,Cueva ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,9,14.5267018,121.4798948
188,108420,Cuyab ES,IV-A (CALABARZON),Laguna,San Pedro,Laguna,San Pedro,grade 1,male,108,14.3726953,121.0586894
189,107858,Dagatan ES,IV-A (CALABARZON),Cavite,Amadeo,Cavite,Amadeo,grade 1,male,25,14.1860464,120.9331295
190,108011,Daine ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,46,14.1857757,120.8457041
191,109635,Dalahican Elem. School,IV-A (CALABARZON),Cavite,Cavite City,Cavite City,Cavite City III District,grade 1,male,83,14.463962,120.8840637
192,108395,Dambo ES,IV-A (CALABARZON),Laguna,Pangil,Laguna,Pangil-Pakil,grade 1,male,22,14.3880786,121.3984705
193,108295,Daniw ES,IV-A (CALABARZON),Laguna,Liliw,Laguna,Liliw,grade 1,male,14,14.1809085,121.4034719
194,164515,Daniw ES Banca-Banca Ext.,IV-A (CALABARZON),Laguna,Victoria,Laguna,Victoria,grade 1,male,18,14.2032537,121.351304
195,107928,Dao ES,IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,Cavite,General E. Aguinaldo,grade 1,male,7,14.1965568,120.80922
